b'id',b'lat',b'lon',b'ele',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'105541420',b'41.284505',b'-81.601509',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:03:50Z'
b'105541687',b'41.467844',b'-81.73441',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:24:26Z'
b'105541962',b'41.4986453',b'-81.544857',,b'wlgann',b'2851892',b'3',b'34889944',b'2015-10-26T19:55:04Z'
b'105542175',b'41.341892',b'-81.660348',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:03:59Z'
b'105542433',b'41.476812',b'-81.659797',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:04:02Z'
b'105542674',b'41.488088',b'-81.757117',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:04:05Z'
b'105542896',b'41.358022',b'-81.51722',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:04:08Z'
b'105543129',b'41.44042',b'-81.467935',,b'woodpeck_fixbot',b'147510',b'2',b'2553515',b'2009-09-21T05:04:11Z'
b'105543406',b'41.3309352',b'-81.7883339',,b'Minh Nguyen',b'33757',b'3',b'6475874',b'2010-11-28T09:24:32Z'
b'105543634',b'41.44673',b'-81.900553',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:24:43Z'
b'105543930',b'41.466592',b'-81.651632',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:05:24Z'
b'105544171',b'41.442083',b'-81.415173',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:24:48Z'
b'105544400',b'41.513922',b'-81.635218',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:05:30Z'
b'105544618',b'41.3734281',b'-81.8628923',,b'oobleck',b'582032',b'4',b'44334041',b'2016-12-11T22:59:35Z'
b'105544891',b'41.4228564',b'-81.6970762',,b'wlgann',b'2851892',b'3',b'37526172',b'2016-02-29T17:24:20Z'
b'105545213',b'41.493864',b'-81.442687',,b'woodpeck_fixbot',b'147510',b'2',b'2879694',b'2009-10-18T06:05:40Z'
b'105545476',b'41.554032',b'-81.523625',,b'woodpeck_fixbot',b'147510',b'3',b'2879694',b'2009-10-18T06:05:43Z'
b'105545705',b'41.361969',b'-81.782566',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:25:15Z'
b'105545993',b'41.3900487',b'-81.640291',,b'Bored',b'85673',b'3',b'21852920',b'2014-04-22T01:35:26Z'
b'105546219',b'41.443079',b'-81.458605',,b'woodpeck_fixbot',b'147510',b'2',b'2414005',b'2009-09-08T14:25:18Z'
b'105546465',b'41.3670031',b'-81.8946886',,b'OSchl\xc3\xbcter',b'66904',b'3',b'6150751',b'2010-10-23T19:28:02Z'
b'105546708',b'41.445862',b'-81.6857163',,b'OSchl\xc3\xbcter',b'66904',b'3',b'6607204',b'2010-12-10T16:45:44Z'
b'105546929',b'41.4411638',b'-81.6464086',,b'OSchl\xc3\xbcter',b'66904',b'3',b'6837691',b'2011-01-02T12:14:11Z'
b'105547202',b'41.4497862',b'-81.7322059',,b'OSchl\xc3\xbcter',b'66904',b'3',b'6830258',b'2011-01-01T17:46:55Z'
b'105547444',b'41.4171128',b'-81.7782778',,b'OSchl\xc3\xbcter',b'66904',b'3',b'6853957',b'2011-01-03T20:06:39Z'
