b'id',b'key',b'value',b'type'
b'11786758',b'upload_uuid',b'bulk_upload.pl-7aa11703-00aa-4ec2-a03e-74d2f1d64f77',b'tiger'
b'11786952',b'highway',b'service',b'regular'
b'11786952',b'cfcc',b'A41',b'tiger'
b'11786952',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11787206',b'highway',b'residential',b'regular'
b'11787206',b'cfcc',b'A41',b'tiger'
b'11787206',b'tlid',b'61141056',b'tiger'
b'11787206',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11787206',b'source',b'tiger_import_dch_v0.6_20070829',b'tiger'
b'11787206',b'reviewed',b'no',b'tiger'
b'11787206',b'separated',b'no',b'tiger'
b'11787206',b'upload_uuid',b'bulk_upload.pl-7aa11703-00aa-4ec2-a03e-74d2f1d64f77',b'tiger'
b'11787422',b'name',b'Gabriella Drive',b'regular'
b'11787422',b'highway',b'residential',b'regular'
b'11787422',b'cfcc',b'A41',b'tiger'
b'11787422',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11787422',b'reviewed',b'no',b'tiger'
b'11787422',b'name_base',b'Gabriella',b'tiger'
b'11787422',b'name_type',b'Dr',b'tiger'
b'11787538',b'name',b'Glenside Road',b'regular'
b'11787538',b'name_1',b'Glenside Avenue',b'regular'
b'11787538',b'highway',b'residential',b'regular'
b'11787538',b'cfcc',b'A41',b'tiger'
b'11787538',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11787538',b'reviewed',b'no',b'tiger'
b'11787538',b'zip_left',b'44121',b'tiger'
b'11787538',b'name_base',b'Glenside',b'tiger'
b'11787538',b'name_type',b'Rd',b'tiger'
b'11787538',b'zip_right',b'44121',b'tiger'
b'11787538',b'name_base_1',b'Glenside',b'tiger'
b'11787538',b'name_type_1',b'Ave',b'tiger'
b'11787716',b'name',b'Algonquin Road',b'regular'
b'11787716',b'highway',b'residential',b'regular'
b'11787716',b'cfcc',b'A41',b'tiger'
b'11787716',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11787716',b'reviewed',b'no',b'tiger'
b'11787716',b'zip_left',b'44117',b'tiger'
b'11787716',b'name_base',b'Algonquin',b'tiger'
b'11787716',b'name_type',b'Rd',b'tiger'
b'11787716',b'zip_right',b'44117',b'tiger'
b'11787866',b'name',b'Greenwich Avenue',b'regular'
b'11787866',b'highway',b'residential',b'regular'
b'11787866',b'cfcc',b'A41',b'tiger'
b'11787866',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11787866',b'reviewed',b'no',b'tiger'
b'11787866',b'zip_left',b'44105',b'tiger'
b'11787866',b'name_base',b'Greenwich',b'tiger'
b'11787866',b'name_type',b'Ave',b'tiger'
b'11787866',b'zip_right',b'44105',b'tiger'
b'11788004',b'name',b'Fieldstone Trail',b'regular'
b'11788004',b'highway',b'residential',b'regular'
b'11788004',b'cfcc',b'A41',b'tiger'
b'11788004',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11788004',b'reviewed',b'no',b'tiger'
b'11788004',b'zip_left',b'44131',b'tiger'
b'11788004',b'name_base',b'Fieldstone',b'tiger'
b'11788004',b'name_type',b'Trl',b'tiger'
b'11788004',b'zip_right',b'44131',b'tiger'
b'11788182',b'name',b'Broadway Avenue',b'regular'
b'11788182',b'oneway',b'yes',b'regular'
b'11788182',b'highway',b'secondary',b'regular'
b'11788182',b'cfcc',b'A41',b'tiger'
b'11788182',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11788182',b'reviewed',b'no',b'tiger'
b'11788182',b'zip_left',b'44146',b'tiger'
b'11788182',b'name_base',b'Broadway',b'tiger'
b'11788182',b'name_type',b'Ave',b'tiger'
b'11788182',b'zip_right',b'44146',b'tiger'
b'11788383',b'name',b'Foote Road',b'regular'
b'11788383',b'highway',b'residential',b'regular'
b'11788383',b'cfcc',b'A41',b'tiger'
b'11788383',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11788383',b'reviewed',b'no',b'tiger'
b'11788383',b'zip_left',b'44140',b'tiger'
b'11788383',b'name_base',b'Foote',b'tiger'
b'11788383',b'name_type',b'Rd',b'tiger'
b'11788383',b'zip_right',b'44140',b'tiger'
b'11788540',b'name',b'Williams Avenue',b'regular'
b'11788540',b'highway',b'residential',b'regular'
b'11788540',b'cfcc',b'A41',b'tiger'
b'11788540',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11788540',b'reviewed',b'no',b'tiger'
b'11788540',b'zip_left',b'44123',b'tiger'
b'11788540',b'name_base',b'Williams',b'tiger'
b'11788540',b'name_type',b'Ave',b'tiger'
b'11788540',b'zip_right',b'44123',b'tiger'
b'11788701',b'name',b'Magnolia Avenue',b'regular'
b'11788701',b'highway',b'residential',b'regular'
b'11788701',b'cfcc',b'A41',b'tiger'
b'11788701',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11788701',b'reviewed',b'no',b'tiger'
b'11788701',b'zip_left',b'44146',b'tiger'
b'11788701',b'name_base',b'Magnolia',b'tiger'
b'11788701',b'name_type',b'Ave',b'tiger'
b'11788701',b'zip_right',b'44146',b'tiger'
b'11788923',b'name',b'East 238th Street',b'regular'
b'11788923',b'highway',b'residential',b'regular'
b'11788923',b'cfcc',b'A41',b'tiger'
b'11788923',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11788923',b'reviewed',b'no',b'tiger'
b'11788923',b'zip_left',b'44117',b'tiger'
b'11788923',b'name_base',b'238th',b'tiger'
b'11788923',b'name_type',b'St',b'tiger'
b'11788923',b'zip_right',b'44117',b'tiger'
b'11788923',b'name_direction_prefix',b'E',b'tiger'
b'11789082',b'name',b'Buccaneer Creek Lane',b'regular'
b'11789082',b'highway',b'residential',b'regular'
b'11789082',b'cfcc',b'A41',b'tiger'
b'11789082',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11789082',b'reviewed',b'no',b'tiger'
b'11789082',b'zip_left',b'44136',b'tiger'
b'11789082',b'name_base',b'Buccaneer Creek',b'tiger'
b'11789082',b'name_type',b'Ln',b'tiger'
b'11789082',b'zip_right',b'44136',b'tiger'
b'11789248',b'name',b'Logan Drive',b'regular'
b'11789248',b'highway',b'residential',b'regular'
b'11789248',b'cfcc',b'A41',b'tiger'
b'11789248',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11789248',b'reviewed',b'no',b'tiger'
b'11789248',b'zip_left',b'44146',b'tiger'
b'11789248',b'name_base',b'Logan',b'tiger'
b'11789248',b'name_type',b'Dr',b'tiger'
b'11789248',b'zip_right',b'44146',b'tiger'
b'11789419',b'ref',b'SR 43',b'regular'
b'11789419',b'name',b'Miles Avenue',b'regular'
b'11789419',b'highway',b'secondary',b'regular'
b'11789419',b'cfcc',b'A31',b'tiger'
b'11789419',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11789419',b'zip_left',b'44128',b'tiger'
b'11789419',b'name_base',b'Miles',b'tiger'
b'11789419',b'name_type',b'Ave',b'tiger'
b'11789419',b'zip_right',b'44128',b'tiger'
b'11789419',b'name_base_1',b'State Route 43',b'tiger'
